DATE	type	rarity	vendor	level	name	brand	slot	armor	core	attributes	talents	mods
2021-06-01	gear	header-named	White House	40	Chain Killer	Walker, Harris & Co.	Chest	158k	<span class="icon-offensive"></span>10.2% Weapon Damage	<span class="icon-utility"></span>10.2% Skill Haste <br/><span class="icon-offensive"></span>4.3% Critical Hit Chance	<span class="icon-active"></span>Perfect Headhunter	Offensive
2021-06-01	gear	header-he	White House	40	Vert Carry Rail	Overlord Armaments	Backpack	131k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-offensive"></span>7.8% Headshot Damage <br/><span class="icon-defensive"></span>7.2% Explosive Resistance	<span class="icon-active"></span>Safeguard	Offensive
2021-06-01	gear	header-he	White House	40	Keel Belly Guard	Wyvern Wear	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>9.5% Hazard Protection <br/><span class="icon-offensive"></span>8.7% Critical Hit Damage	<span class="icon-active"></span>Overwatch	Utility
2021-06-01	gear	header-he	Haven	40	Umbra Plate Carrier	Grupo Sombra S.A.	Chest	158k	<span class="icon-offensive"></span>10.5% Weapon Damage	<span class="icon-offensive"></span>10% Critical Hit Damage <br/><span class="icon-offensive"></span>4.9% Critical Hit Chance	<span class="icon-active"></span>Glass Cannon	Utility
2021-06-01	gear	header-he	Haven	40	Deadstick Protection Mask	Overlord Armaments	Mask	80k	<span class="icon-offensive"></span>12.1% Weapon Damage	<span class="icon-defensive"></span>3921 Armor Regeneration <br/><span class="icon-defensive"></span>8.0% Hazard Protection	-	Offensive
2021-06-01	gear	header-he	Haven	40	Dionysus Rounded Padding	Airaldi Holdings	Kneepads	99k	<span class="icon-offensive"></span>5.1% Weapon Damage	<span class="icon-offensive"></span>6.5% Weapon Handling <br/><span class="icon-utility"></span>10.0% Status Effects	-	-
2021-06-01	gear	header-named	Clan	40	Fox's Prayer	Overlord Armaments	Kneepads	99k	<span class="icon-offensive"></span>11.0% Weapon Damage	<span class="icon-offensive"></span>8.0% Damage Out of Cover <br/><span class="icon-offensive"></span>4.6% Critical Hit Chance	-	-
2021-06-01	gear	header-gs	Clan	40	Klavdiya Sidearm Holder	Aces & Eights	Holster	112k	<span class="icon-offensive"></span>12.3% Weapon Damage	<span class="icon-offensive"></span>8.3% Headshot Damage  	-	-
2021-06-01	gear	header-gs	Clan	40	Lyudmila Snipers Mask	Aces & Eights	Mask	80k	<span class="icon-offensive"></span>12.1% Weapon Damage	<span class="icon-defensive"></span>4,238 Armor Regeneration  	-	Offensive
2021-06-01	gear	header-gs	Clan	40	Serpentine Array Vest	Hard Wired	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>9.0% Hazard Protection  	<span class="icon-active"></span>Positive Reinforcement	Utility
2021-06-01	gear	header-he	Clan	40	Penumbra Mask	Grupo Sombra S.A.	Mask	80k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-offensive"></span>8.6% Headshot Damage <br/><span class="icon-utility"></span>16.2% Repair Skills	-	Utility
2021-06-01	gear	header-he	Clan	40	Mountain Hiking Pack	Alps Summit Armaments	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.7% Status Effects <br/><span class="icon-offensive"></span>6.5% Weapon Handling	<span class="icon-active"></span>Tech Support	Utility
2021-06-01	gear	header-he	Clan	40	Aegis Knapsack	Richter & Kaiser	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>7.8% Explosive Resistance <br/><span class="icon-utility"></span>10.2% Skill Haste	<span class="icon-active"></span>Adrenaline Rush	Defensive
2021-06-01	gear	header-he	Benitez	40	Cavalry TAC-Pack	Belstone Armory	Backpack	131k	<span class="icon-defensive"></span>123780 Armor	<span class="icon-defensive"></span>3837 Armor Regeneration <br/><span class="icon-defensive"></span>7.0% Explosive Resistance	<span class="icon-active"></span>Bloodsucker	Offensive
2021-06-01	gear	header-he	Benitez	40	Urban Warfare Kneepads	Providence Defense	Kneepads	99k	<span class="icon-offensive"></span>11.5% Weapon Damage	<span class="icon-utility"></span>10.2% Skill Haste <br/><span class="icon-utility"></span>7.7% Skill Damage	-	-
2021-06-01	gear	header-he	Benitez	40	Lomond Medium Breather	Douglas & Harding	Mask	80k	<span class="icon-offensive"></span>9.9% Weapon Damage	<span class="icon-offensive"></span>5.5% Weapon Handling <br/><span class="icon-utility"></span>7.2% Skill Damage	-	Offensive
2021-06-01	gear	header-gs	DZ West	40	Striker's Gloves	Striker's Battlegear	Gloves	80k	<span class="icon-offensive"></span>11.6% Weapon Damage	<span class="icon-offensive"></span>10% Critical Hit Damage  	-	-
2021-06-01	gear	header-gs	DZ West	40	Hammer Guards	Foundry Bulwark	Kneepads	99k	<span class="icon-defensive"></span>87134 Armor	<span class="icon-defensive"></span>4665 Armor Regeneration  	-	-
2021-06-01	gear	header-he	DZ West	40	Ayal Gloves	Golan Gear Ltd	Gloves	80k	<span class="icon-defensive"></span>170000 Armor	<span class="icon-utility"></span>9.5% Skill Haste <br/><span class="icon-offensive"></span>6.4% Headshot Damage	-	-
2021-06-01	gear	header-he	DZ West	40	Yukon Kneepads	Yaahl	Kneepads	99k	<span class="icon-defensive"></span>122961 Armor	<span class="icon-defensive"></span>3933 Armor Regeneration <br/><span class="icon-utility"></span>14.4% Repair Skills	-	-
2021-06-01	gear	header-he	The Theater	40	Neptune Protection Gloves	Overlord Armaments	Gloves	80k	<span class="icon-offensive"></span>8.2% Weapon Damage	<span class="icon-offensive"></span>7.7% Headshot Damage <br/><span class="icon-utility"></span>8.7% Status Effects	-	-
2021-06-01	gear	header-he	The Theater	40	Nimble Knee Protectors	Sokolov Concern	Kneepads	99k	<span class="icon-offensive"></span>11.5% Weapon Damage	<span class="icon-defensive"></span>8.7% Hazard Protection <br/><span class="icon-defensive"></span>15,649 Health	-	-
2021-06-01	gear	header-gs	DZ South	40	Rigger Gear Bag	Rigger	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>6.9% Skill Damage  	-	Utility
2021-06-01	gear	header-gs	DZ South	40	Hunter's Cage	Hunter's Fury	Chest	158k	<span class="icon-offensive"></span>13.7% Weapon Damage	<span class="icon-offensive"></span>5.2% Headshot Damage  	-	Offensive
2021-06-01	gear	header-he	DZ South	40	Trapezius Go-bag	Wyvern Wear	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.5% Status Effects <br/><span class="icon-defensive"></span>15668 Health	<span class="icon-active"></span>Adrenaline Rush	Utility
2021-06-01	gear	header-he	DZ South	40	Crew-Adapted Chest Rig	Petrov Defense Group	Chest	158k	<span class="icon-offensive"></span>10.4% Weapon Damage	<span class="icon-offensive"></span>4.7% Critical Hit Chance <br/><span class="icon-utility"></span>10.7% Skill Haste	<span class="icon-active"></span>Obliterate	Offensive
2021-06-01	gear	header-he	The Campus	40	Bevor Air Guard	Belstone Armory	Mask	80k	<span class="icon-defensive"></span>122,404 Armor	<span class="icon-offensive"></span>7.3% Headshot Damage <br/><span class="icon-utility"></span>7.3% Skill Damage	-	Offensive
2021-06-01	gear	header-he	The Campus	40	Hera Pouch-Holster Combo	Airaldi Holdings	Holster	112k	<span class="icon-offensive"></span>12.2% Weapon Damage	<span class="icon-defensive"></span>8.1% Explosive Resistance <br/><span class="icon-offensive"></span>4.0% Critical Hit Chance	-	-
2021-06-01	gear	header-named	DZ East	40	Nightwatcher	Gila Guard	Mask	80k	<span class="icon-defensive"></span>132353 Armor	<span class="icon-utility"></span>100% Scanner Pulse Haste <br/><span class="icon-defensive"></span>7.8% Explosive Resistance	-	Defensive
2021-06-01	gear	header-gs	DZ East	40	Heft Grade A Mask	True Patriot	Mask	80k	<span class="icon-defensive"></span>115082 Armor	<span class="icon-utility"></span>15.6% Repair Skills  	-	Defensive
2021-06-01	gear	header-gs	DZ East	40	Striker's Holster	Striker's Battlegear	Holster	112k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-offensive"></span>10.5% Critical Hit Damage  	-	-
2021-06-01	gear	header-he	DZ East	40	Guardrail VI Face Rig	Petrov Defense Group	Mask	80k	<span class="icon-offensive"></span>8.0% Weapon Damage	<span class="icon-utility"></span>9.9% Skill Haste <br/><span class="icon-defensive"></span>4286 Armor Regeneration	-	Offensive
2021-06-01	gear	header-he	DZ East	40	Fodral Holster	Fenris Group AB	Holster	112k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-offensive"></span>7.3% Headshot Damage <br/><span class="icon-defensive"></span>3921 Armor Regeneration	-	-
2021-06-01	gear	header-named	Cassie	40	Nightwatcher	Gila Guard	Mask	80k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-utility"></span>100.0% Scanner Pulse Haste <br/><span class="icon-defensive"></span>7.5% Explosive Resistance	-	Defensive
2021-06-01	gear	header-named	Cassie	40	Hunter-Killer	Golan Gear Ltd	Chest	158k	<span class="icon-defensive"></span>170,000 Armor	<span class="icon-defensive"></span>8.5% Hazard Protection <br/><span class="icon-offensive"></span>4.6% Critical Hit Chance	<span class="icon-active"></span>Perfect Intimidate	Utility
2021-06-01	gear	header-gs	Cassie	40	Ziba Low Profile Pack	Aces & Eights	Backpack	131k	<span class="icon-offensive"></span>12.3% Weapon Damage	<span class="icon-offensive"></span>8.3% Headshot Damage  	<span class="icon-active"></span>Ace in the Sleeve	Offensive
2021-06-01	gear	header-gs	Cassie	40	Sealed Chest Guard	Eclipse Protocol	Chest	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>4,238 Armor Regeneration  	<span class="icon-active"></span>Proliferation	Utility
2021-06-01	gear	header-gs	Cassie	40	Ross Hand Protectors	True Patriot	Gloves	80k	<span class="icon-defensive"></span>109,224 Armor	<span class="icon-defensive"></span>10.0% Hazard Protection  	-	-
2021-06-01	gear	header-gs	Cassie	40	Anti-Tear Joint Shielding	Eclipse Protocol	Kneepads	99k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.7% Status Effects  	-	-
2021-06-01	gear	header-gs	Cassie	40	Bogey Thigh Rig	Negotiator's Dilemma	Holster	112k	<span class="icon-offensive"></span>12.3% Weapon Damage	<span class="icon-offensive"></span>6.5% Weapon Handling  	-	-
2021-06-01	gear	header-gs	Cassie	40	Ray Face Mask	Tip of the Spear	Mask	80k	<span class="icon-offensive"></span>10.6% Weapon Damage	<span class="icon-offensive"></span>8.2% Headshot Damage  	-	Offensive
2021-06-01	gear	header-he	Cassie	40	Aegis Knapsack	Richter & Kaiser	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.7% Status Effects <br/><span class="icon-offensive"></span>6.5% Weapon Handling	<span class="icon-active"></span>Tech Support	Defensive
2021-06-01	gear	header-he	Cassie	40	Patella Knee Cups	Wyvern Wear	Kneepads	99k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>7.6% Skill Damage <br/><span class="icon-offensive"></span>7.6% Headshot Damage	-	-
2021-06-08	gear	header-he	White House	40	Demeter Quick-Stash	Airaldi Holdings	Backpack	131k	<span class="icon-offensive"></span>12.0% Weapon Damage	<span class="icon-offensive"></span>8.0% Headshot Damage <br/><span class="icon-offensive"></span>5.5% Weapon Handling	<span class="icon-active"></span>Bloodsucker	Offensive
2021-06-08	gear	header-he	White House	40	Stridsväst Combat Vest	Fenris Group AB	Chest	158k	<span class="icon-offensive"></span>9.9% Weapon Damage	<span class="icon-defensive"></span>8.1% Hazard Protection <br/><span class="icon-utility"></span>10.1% Skill Haste	<span class="icon-active"></span>Empathic Resolve	Offensive
2021-06-08	gear	header-gs	Clan	40	Rush Tactics Holster	Future Initiative	Holster	112k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>17.4% Repair Skills  	-	-
2021-06-08	gear	header-gs	Clan	40	Striker's Harness	Striker's Battlegear	Chest	158k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-offensive"></span>4.7% Critical Hit Chance  	<span class="icon-active"></span>Press the Advantage	Offensive
2021-06-08	gear	header-gs	Clan	40	Sheridan Kneelers	True Patriot	Kneepads	99k	<span class="icon-defensive"></span>120,155 Armor	<span class="icon-defensive"></span>9.5% Hazard Protection  	-	-
2021-06-08	gear	header-he	Clan	40	All Hazards Prime Backpack	5.11 Tactical	Backpack	131k	<span class="icon-defensive"></span>150,089 Armor	<span class="icon-defensive"></span>3,942 Armor Regeneration <br/><span class="icon-utility"></span>10.2% Skill Haste	<span class="icon-active"></span>Companion	Defensive
2021-06-08	gear	header-he	Clan	40	MJ 54	China Light Industries Corporation	Mask	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>12.0% Skill Haste <br/><span class="icon-offensive"></span>5.5% Weapon Handling	-	Utility
2021-06-08	gear	header-he	The Theater	40	Tactical Assault Gloves	Providence Defense	Gloves	80k	<span class="icon-offensive"></span>10.4% Weapon Damage	<span class="icon-utility"></span>15.8% Repair Skills <br/><span class="icon-defensive"></span>15,342 Health	-	-
2021-06-08	gear	header-he	The Theater	40	Nimble Knee Protectors	Sokolov Concern	Kneepads	99k	<span class="icon-offensive"></span>12.4% Weapon Damage	<span class="icon-defensive"></span>3,817 Armor Regeneration <br/><span class="icon-utility"></span>8.3% Status Effects	-	-
2021-06-08	gear	header-named	The Campus	40	Punch Drunk	Douglas & Harding	Mask	80k	<span class="icon-offensive"></span>10.6% Weapon Damage	<span class="icon-offensive"></span>20.0% Headshot Damage <br/><span class="icon-offensive"></span>5.5% Weapon Handling	-	Offensive
