DATE	type	rarity	vendor	level	name	attributes
2021-06-01	mod	header-offensive	White House	40	Offensive System: Firearms	7.0% Headshot Damage 
2021-06-01	mod	header-he	White House	40	Additional Ordnance	 Drone<br/>4.9% Damage Reduction
2021-06-01	mod	header-he	White House	40	Ammo Box	 Turret<br/>5.8% Duration
2021-06-01	mod	header-he	White House	40	Improved Sticky Payload	 Sticky Bomb<br/>6.5% Damage
2021-06-01	mod	header-defensive	Haven	40	Defensive System: Mending	8.5% Disrupt Resistance 
2021-06-01	mod	header-defensive	Haven	40	Defensive Protocol: Resilience	8.6% Disrupt Resistance 
2021-06-01	mod	header-he	Haven	40	Liquid Metal Microdroplets	 Shield<br/>4.0 Damage Bonus Per Enemy
2021-06-01	mod	header-he	Haven	40	Liquid Nitrogen Cooling System	 Chem Launcher<br/>5.9% Radius
2021-06-01	mod	header-he	Haven	40	Decoy Housing Shell	 Decoy<br/>6.0% Health
2021-06-01	mod	header-utility	Clan	40	Utility Protocol: Intensity	10.5% Skill Haste 
2021-06-01	mod	header-he	Clan	40	Chromatics Training	 Chem Launcher<br/>6.6% Burn Strength
2021-06-01	mod	header-he	Clan	40	Cementitious Material	 Shield<br/>4.5% Deflector Damage
2021-06-01	mod	header-he	Clan	40	Ball Bearings	 Seeker Mine<br/>6.7% Health
2021-06-01	mod	header-utility	Benitez	40	Utility System: Assist	16.1% Repair Skills 
2021-06-01	mod	header-utility	Benitez	40	Utility Protocol: Intensity	16.1% Repair Skills 
2021-06-01	mod	header-he	Benitez	40	Cementitious Material	 Shield<br/>4.2% Shield Health
2021-06-01	mod	header-he	Benitez	40	Hardened Casing	 Firefly<br/>6.0% Skill Haste
2021-06-01	mod	header-he	Benitez	40	Decoy Housing Shell	 Decoy<br/>5.5% Health
2021-06-01	mod	header-defensive	DZ West	40	Defensive Protocol: Mending	8.2% Shock Resistance 
2021-06-01	mod	header-he	DZ West	40	Ball Bearings	 Seeker Mine<br/>1 Cluster Mines
2021-06-01	mod	header-he	DZ West	40	Liquid Nitrogen Cooling System	 Shield<br/>4 Damage Bonus Per Enemy
2021-06-01	mod	header-he	DZ West	40	Guiding System	 Firefly<br/>1 Max Targets
2021-06-01	mod	header-he	DZ West	40	Decoy Projector Internals	 Decoy<br/>6.0% Duration
2021-06-01	mod	header-he	DZ East	40	Trap Electronics Upgrade	 Trap<br/>6.1% Duration
2021-06-01	mod	header-defensive	The Theater	40	Defensive System: Mending	15,341 Armor on Kill 
2021-06-01	mod	header-he	The Theater	40	Mini Electric Motor	 Seeker Mine<br/>4.2% Radius
2021-06-01	mod	header-he	The Theater	40	Magnetostrictive Material	 Shield<br/>1.0 Damage Bonus Per Enemy
2021-06-01	mod	header-he	The Theater	40	Guiding System	 Firefly<br/>1 Max Targets
2021-06-01	mod	header-he	The Theater	40	Decoy Housing Shell	 Decoy<br/>5.5% Health
2021-06-01	mod	header-offensive	DZ South	40	Offensive Protocol: Critical	10.1% Critical Hit Damage 
2021-06-01	mod	header-he	DZ South	40	Blitzkrieg Blasting Powder	 Drone<br/>6.5% Duration
2021-06-01	mod	header-he	DZ South	40	SHD CPU V.2	 Turret<br/>6.1% Skill Haste
2021-06-01	mod	header-he	DZ South	40	Improved Sticky Payload	 Sticky Bomb<br/>4.9% Blast Radius
2021-06-01	mod	header-utility	The Campus	40	Utility Protocol: Intensity	10.3% Skill Haste 
2021-06-01	mod	header-he	The Campus	40	Feed Strip	 Chem Launcher<br/>12.9% Ensnare Health
2021-06-01	mod	header-he	The Campus	40	Nitroglycerin Mixture	 Hive<br/>4 Repair Charges
2021-06-01	mod	header-he	The Campus	40	Distributed Architecture	 Pulse<br/>8.7% Radius
2021-06-01	mod	header-he	The Campus	40	Trap Charge Improvement	 Trap<br/>4.1% Duration
2021-06-01	mod	header-utility	DZ East	40	Utility Protocol: Intensity	10.1% Skill Haste 
2021-06-01	mod	header-he	DZ East	40	Ultra-Thin Cartridges	 Chem Launcher<br/>1 Ammo
2021-06-01	mod	header-he	DZ East	40	Nitroglycerin Mixture	 Hive<br/>4 Repair Charges
2021-06-01	mod	header-he	DZ East	40	Silicon Carbide Coil	 Pulse<br/>6.4% Cone Size
2021-06-01	mod	header-utility	Cassie	40	Utility Protocol: Intensity	10.5% Skill Haste 
2021-06-01	mod	header-he	Cassie	40	Chromatics Training	 Chem Launcher<br/>6.6% Burn Strength
2021-06-08	mod	header-offensive	White House	40	Offensive Protocol: Critical	7.2% Headshot Damage 
2021-06-08	mod	header-he	White House	40	Reinforced Rotor Blades	 Drone<br/>8.6% Health
2021-06-08	mod	header-he	White House	40	Lubrication Gel	 Turret<br/>4.1% Burn Damage
2021-06-08	mod	header-he	White House	40	Improved Sticky Payload	 Sticky Bomb<br/>6.4% Damage
2021-06-08	mod	header-utility	Clan	40	Utility System: Electronics	10.6% Skill Haste 
2021-06-08	mod	header-he	Clan	40	Nickel-Chromium Wire	 Pulse<br/>8.9% Radius
2021-06-08	mod	header-he	Clan	40	Sturdy Piston	 Seeker Mine<br/>4.5% Damage
2021-06-08	mod	header-he	Clan	40	Heating Mantle	 Pulse<br/>16.1% Health
2021-06-08	mod	header-defensive	The Theater	40	Defensive System: Mending	8.3% Ensnare Resistance 
2021-06-08	mod	header-he	The Theater	40	Mini Electric Motor	 Seeker Mine<br/>4.2% Radius
2021-06-08	mod	header-he	The Theater	40	Cementitious Material	 Shield<br/>4.1% Shield Health
2021-06-08	mod	header-he	The Theater	40	Tungsten Compound	 Firefly<br/>5.9% Blind Effect Duration
2021-06-08	mod	header-he	The Theater	40	Decoy Housing Shell	 Decoy<br/>6.0% Health
2021-06-08	mod	header-utility	The Campus	40	Utility System: Electronics	16.6% Repair Skills 
2021-06-08	mod	header-he	The Campus	40	Pharmacokinetic Enhancer	 Chem Launcher<br/>5.9% Skill Haste
2021-06-08	mod	header-he	The Campus	40	Polycarbonate Housing	 Hive<br/>4.2% Duration
2021-06-08	mod	header-he	The Campus	40	Super Glue	 Pulse<br/>14.9% Health
2021-06-08	mod	header-he	The Campus	40	Trap Electronics Upgrade	 Trap<br/>6.1% Shock Radius
2021-06-08	mod	header-defensive	DZ West	40	Defensive Protocol: Stamina	8.3% Burn Resistance 
2021-06-08	mod	header-he	DZ West	40	Mini Electric Motor	 Seeker Mine<br/>4.2% Damage
2021-06-08	mod	header-he	DZ West	40	Synthetic Mineral Frame	 Shield<br/>4.2% Deflector Damage
2021-06-08	mod	header-he	DZ West	40	Micro Conduits	 Firefly<br/>7.8% Speed
2021-06-08	mod	header-he	DZ West	40	Decoy Housing Shell	 Decoy<br/>6.0% Health
2021-06-08	mod	header-offensive	DZ South	40	Offensive Protocol: Critical	4.5% Critical Hit Chance 
2021-06-08	mod	header-he	DZ South	40	Graphene Battery	 Drone<br/>6.4% Deflect Duration
2021-06-08	mod	header-he	DZ South	40	Ammo Box	 Turret<br/>5.9% Duration
2021-06-08	mod	header-he	DZ South	40	Improved Sticky Launcher	 Sticky Bomb<br/>5.0% Blast Radius
2021-06-08	mod	header-utility	DZ East	40	Utility Protocol: Intensity	15.6% Repair Skills 
2021-06-08	mod	header-he	DZ East	40	Feed Strip	 Chem Launcher<br/>5.9% Heal
2021-06-08	mod	header-he	DZ East	40	Extra Payload	 Hive<br/>8.2% Revived Armor
2021-06-08	mod	header-he	DZ East	40	Heating Mantle	 Pulse<br/>15.1% Health
2021-06-08	mod	header-he	DZ East	40	Trap Charge Improvement	 Trap<br/>4.3% Duration
2021-06-08	mod	header-defensive	Haven	40	Defensive System: Mending	15,165 Armor on Kill 
2021-06-08	mod	header-utility	Haven	40	Utility Protocol: Intensity	9.9% Skill Haste 
2021-06-08	mod	header-he	Haven	40	Ammo Box	 Turret<br/>1 Extra Sniper Ammo
2021-06-08	mod	header-he	Haven	40	Unstable Oscillator	 Pulse<br/>8.5% Radius
2021-06-08	mod	header-he	Haven	40	Improved Sticky Payload	 Sticky Bomb<br/>4.7% Blast Radius
2021-06-08	mod	header-utility	Benitez	40	Utility System: Assist	10.3% Skill Haste 
2021-06-08	mod	header-utility	Benitez	40	Utility Protocol: Intensity	8.5% Skill Duration 
2021-06-08	mod	header-he	Benitez	40	Gaffer Tape	 Drone<br/>6.2% Armor Repair
2021-06-08	mod	header-he	Benitez	40	RAM Surplus	 Firefly<br/>1 Max Targets
2021-06-08	mod	header-he	Benitez	40	Decoy Projector Internals	 Decoy<br/>6.0% Duration
2021-06-08	mod	header-utility	Cassie	40	Utility System: Electronics	10.6% Skill Haste 
2021-06-08	mod	header-he	Cassie	40	Nickel-Chromium Wire	 Pulse<br/>8.9% Radius
2021-06-15	mod	header-offensive	White House	40	Offensive Protocol: Critical	4.3% Critical Hit Chance 
2021-06-15	mod	header-he	White House	40	Blitzkrieg Blasting Powder	 Drone<br/>6.4% Duration
2021-06-15	mod	header-he	White House	40	Magnetic Rail	 Turret<br/>4.2% Burn Damage
2021-06-15	mod	header-he	White House	40	Improved Sticky Payload	 Sticky Bomb<br/>5.0% Blast Radius
2021-06-15	mod	header-utility	Haven	40	Utility Protocol: Assist	8.4% Skill Duration 
