DATE	type	rarity	vendor	level	name	attribute_slot	attribute_value	attribute_type
2021-06-01	mod	header-offensive	ホワイトハウス	40	Offensive System: Firearms	gear	7.0	ヘッドショットダメージ上昇
2021-06-01	mod	header-he	ホワイトハウス	40	Additional Ordnance	ドローン	4.9	ダメージ軽減
2021-06-01	mod	header-he	ホワイトハウス	40	Ammo Box	タレット	5.8	持続時間
2021-06-01	mod	header-he	ホワイトハウス	40	Improved Sticky Payload	粘着爆弾	6.5	ダメージ
2021-06-01	mod	header-defensive	ヘイヴン	40	Defensive System: Mending	gear	8.5	電波妨害耐性
2021-06-01	mod	header-defensive	ヘイヴン	40	Defensive Protocol: Resilience	gear	8.6	電波妨害耐性
2021-06-01	mod	header-he	ヘイヴン	40	Liquid Metal Microdroplets	シールド	4.0	ダメージボーナス(敵1体ごと)
2021-06-01	mod	header-he	ヘイヴン	40	Liquid Nitrogen Cooling System	ケミランチャー	5.9	範囲
2021-06-01	mod	header-he	ヘイヴン	40	Decoy Housing Shell	デコイ	6.0	HP
2021-06-01	mod	header-utility	クランショップ	40	Utility Protocol: Intensity	gear	10.5	スキルヘイスト
2021-06-01	mod	header-he	クランショップ	40	Chromatics Training	ケミランチャー	6.6	炎上強度
2021-06-01	mod	header-he	クランショップ	40	Cementitious Material	シールド	4.5	ディフレクターダメージ
2021-06-01	mod	header-he	クランショップ	40	Ball Bearings	マイン	6.7	HP
2021-06-01	mod	header-utility	ベニテス	40	Utility System: Assist	gear	16.1	スキル修復
2021-06-01	mod	header-utility	ベニテス	40	Utility Protocol: Intensity	gear	16.1	スキル修復
2021-06-01	mod	header-he	ベニテス	40	Cementitious Material	シールド	4.2	シールドHP
2021-06-01	mod	header-he	ベニテス	40	Hardened Casing	ファイアフライ	6.0	スキルヘイスト
2021-06-01	mod	header-he	ベニテス	40	Decoy Housing Shell	デコイ	5.5	HP
2021-06-01	mod	header-defensive	DZウエスト	40	Defensive Protocol: Mending	gear	8.2	電波妨害耐性
2021-06-01	mod	header-he	DZウエスト	40	Ball Bearings	マイン	1.0	クラスターマイン
2021-06-01	mod	header-he	DZウエスト	40	Liquid Nitrogen Cooling System	シールド	4.0	ダメージボーナス(敵1体ごと)
2021-06-01	mod	header-he	DZウエスト	40	Guiding System	ファイアフライ	1.0	最多ターゲット
2021-06-01	mod	header-he	DZウエスト	40	Decoy Projector Internals	デコイ	6.0	持続時間
2021-06-01	mod	header-he	DZイースト	40	Trap Electronics Upgrade	トラップ	6.1	持続時間
2021-06-01	mod	header-defensive	シアター	40	Defensive System: Mending	gear	15341.0	キルによるアーマー
2021-06-01	mod	header-he	シアター	40	Mini Electric Motor	マイン	4.2	範囲
