DATE	type	rarity	vendor	level	name	dmg	rpm	mag	talent	attribute1	attribute2	attribute3
DATE	type	rarity	vendor	level	name	dmg	rpm	mag	talent	attribute1	attribute2	attribute025-11-25	weapon	header-he	The Theater	40	AUG A3 Para XS	57,825	725	25	Ignited	<span class="icon-weapons"></span>8.7% SMG Damage	<span class="icon-weapons"></span>12% Critical Hit Chance	<span class="icon-weapons"></span>14.4% Swap Speed
2025-11-25	weapon	header-he	The Theater	40	G36 C	48,892	750	30	Spike	<span class="icon-weapons"></span>7.9% AR Damage	<span class="icon-weapons"></span>17% Health Damage	<span class="icon-weapons"></span>8% Critical Hit Damage
2025-11-25	weapon	header-he	The Theater	40	Officer's M9 A1	81,801	350	20	Sledgehammer	<span class="icon-weapons"></span>12.1% Pistol Damage	<span class="icon-weapons"></span>7.3% Reload Speed	-
2025-11-25	weapon	header-named	Clan	40	Mechanical Animal	50,773	720	30	Future Perfect	<span class="icon-weapons"></span>10.3% AR Damage	<span class="icon-weapons"></span>17% Health Damage	<span class="icon-weapons"></span>13.2% Swap Speed
2025-11-25	weapon	header-he	Clan	40	Super 90	440,031	160	8	Vindictive	<span class="icon-weapons"></span>11.7% Shotgun Damage	<span class="icon-weapons"></span>9% Damage to Armor	<span class="icon-weapons"></span>4% Rate of Fire
2025-11-25	weapon	header-he	Clan	40	Military Mk17	116,120	275	20	Sledgehammer	<span class="icon-weapons"></span>9.9% Rifle Damage	<span class="icon-weapons"></span>11% Critical Hit Damage	<span class="icon-weapons"></span>15% Swap Speed
2025-11-25	weapon	header-he	Clan	40	586 Magnum	190,339	160	6	Finisher	<span class="icon-weapons"></span>13.6% Pistol Damage	<span class="icon-weapons"></span>5% Damage to Armor	-
2025-11-25	weapon	header-he	Clan	40	P90	48,892	900	50	Measured	<span class="icon-weapons"></span>11.1% SMG Damage	<span class="icon-weapons"></span>17% Critical Hit Chance	<span class="icon-weapons"></span>9% Damage Out of Cover
2025-11-25	weapon	header-he	Clan	40	MP7	47,952	950	40	Streamline	<span class="icon-weapons"></span>10.7% SMG Damage	<span class="icon-weapons"></span>21% Critical Hit Chance	<span class="icon-weapons"></span>7% Damage Out of Cover
2025-11-25	weapon	header-named	Countdown	40	Baker's Dozen - Classic M1A	205,442	180	10	Lucky Shot	<span class="icon-weapons"></span>15% Rifle Damage	<span class="icon-weapons"></span>9% Critical Hit Damage	<span class="icon-weapons"></span>7.5% Critical Hit Chance
2025-11-25	weapon	header-named	The Theater	40	Stage Left - M1A CQB	156,080	320	10	Perfect Sledgehammer	<span class="icon-weapons"></span>9.7% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>8.3% Accuracy
2025-11-25	weapon	header-he	The Theater	40	KSG Shotgun	594,230	70	12	Reformation	<span class="icon-weapons"></span>12.5% Shotgun Damage	<span class="icon-weapons"></span>8% Damage to Armor	<span class="icon-weapons"></span>8% Magazine Size
2025-11-25	weapon	header-he	The Theater	40	ACR SS	92,614	420	30	Eyeless	<span class="icon-weapons"></span>10.4% Rifle Damage	<span class="icon-weapons"></span>12% Critical Hit Damage	<span class="icon-weapons"></span>8.5% Magazine Size
