DATE	type	rarity	vendor	level	name	dmg	rpm	mag	talent	attribute1_icon	attribute1_value	attribute1_type	attribute2_icon	attribute2_value	attribute2_type	attribute3_icon	attribute3_value	attribute3_type
2021-06-01	weapon	header-he	ヘイヴン	40	CTAR-21	41,371	900	30	接近戦	icon-weapons	9.8	アサルトライフルダメージ	icon-weapons	16.0	HPダメージ	icon-weapons	8.0	装弾数
2021-06-01	weapon	header-he	ヘイヴン	40	SOCOM Mk20 SSR	143,857	275	20	持続力	icon-weapons	8.2	マークスマンライフルダメージ	icon-weapons	110.0	ヘッドショットダメージ上昇	icon-weapons	5.5	HPダメージ
2021-06-01	weapon	header-he	ヘイヴン	40	SPAS-12	646,883	70	8	クイックハンド	icon-weapons	11.7	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	7.5	装弾数
2021-06-01	weapon	header-he	ヘイヴン	40	X-45	76,630	400	10	接近戦			%	icon-weapons	12.0	ピストルダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-01	weapon	header-he	ホワイトハウス	40	P90	48,892	900	50	アイレス	icon-weapons	11.1	SMGダメージ	icon-weapons	16.0	クリティカル率	icon-weapons	8.9	安定性
2021-06-01	weapon	header-he	ホワイトハウス	40	カービン 7	47,012	790	30	オーバーフロー	icon-weapons	10.6	アサルトライフルダメージ	icon-weapons	13.5	HPダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-01	weapon	header-he	ホワイトハウス	40	586 マグナム	190,339	160	6	リフォーメーション	icon-weapons	10.8	ピストルダメージ	icon-weapons	18.5	最適射程			
2021-06-01	weapon	header-he	クランショップ	40	ミリタリー M9	81,801	350	15	プリザベーション	icon-weapons	13.5	ピストルダメージ	icon-weapons	7.0	カバー外のターゲットへのダメージ			
2021-06-01	weapon	header-he	クランショップ	40	ミリタリー Mk17	116,120	275	20	オプティミスト	icon-weapons	15.0	ライフルダメージ	icon-weapons	13.0	クリティカルダメージ	icon-weapons	7.0	HPダメージ
2021-06-01	weapon	header-he	クランショップ	40	パラトルーパー SVD	159,841	260	10	ネイキッド	icon-weapons	13.5	マークスマンライフルダメージ	icon-weapons	104.0	ヘッドショットダメージ上昇	icon-weapons	11.4	切り替え速度
2021-06-01	weapon	header-he	クランショップ	40	ブラックマーケット T821	66,757	550	32	アイレス	icon-weapons	11.7	SMGダメージ	icon-weapons	16.0	クリティカル率	icon-weapons	9.3	安定性
2021-06-01	weapon	header-he	ベニテス	40	FAMAS 2010	44,191	900	30	フューチャーパーフェクト	icon-weapons	11.0	アサルトライフルダメージ	icon-weapons	15.0	HPダメージ	icon-weapons	8.0	クリティカルダメージ
2021-06-01	weapon	header-he	ベニテス	40	MG5	43,251	800	50	フレンジー	icon-weapons	11.3	LMGダメージ	icon-weapons	8.0	カバー外のターゲットへのダメージ	icon-weapons	4.0	アーマーへのダメージ
2021-06-01	weapon	header-he	ベニテス	40	ACR SS	92,614	420	30	ライフルマン	icon-weapons	13.2	ライフルダメージ	icon-weapons	6.0	クリティカルダメージ	icon-weapons	8.5	HPダメージ
2021-06-01	weapon	header-he	ベニテス	40	ファーストウェーブ PF45	82,741	370	12	ブレッドバスケット	icon-weapons	10.8	ピストルダメージ	icon-weapons	8.7	安定性			
2021-06-01	weapon	header-named	DZウエスト	40	ロックンロール	169,243	300	20	パーフェクト・エクストラ	icon-weapons	10.8	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	18.5	最適射程
